state,selected_strata,optimized_los,objective
US,19_2022_Spring,8.994870694196491,40543
US,20_2022_Spring,9.79095769319094,49397
US,21_2022_Spring,8.98993544916604,56190
US,22_2022_Spring,11.838235451735827,45874
US,22_2022_Summer,13.035938741850964,54816
US,23_2022_Summer,9.841668022157432,64913
US,24_2022_Summer,10.417989474465408,66761
US,25_2022_Summer,8.806518611439481,68520
US,26_2022_Summer,9.20399691870897,74285
US,27_2022_Summer,10.416407864998737,83597
US,28_2022_Summer,10.408376334447398,92110
US,29_2022_Summer,10.19867201709847,99711
US,30_2022_Summer,11.771916977087923,107329
US,31_2022_Summer,13.27478794279089,108546
US,32_2022_Summer,12.184474213553266,105630
US,33_2022_Summer,12.79461730878285,102268
US,34_2022_Summer,12.167364406857747,95927
US,35_2022_Summer,14.46498237732762,78490
US,35_2022_Fall,12.254682734755047,63740
US,36_2022_Fall,12.167184270002522,89856
US,37_2022_Fall,11.705987605759837,78727
US,38_2022_Fall,12.242062599263184,70632
US,39_2022_Fall,11.424176638730872,67389
US,40_2022_Fall,12.04736559608843,63613
US,41_2022_Fall,12.0967762036696,61641
US,42_2022_Fall,11.76078319060719,61837
US,43_2022_Fall,12.203808412312721,61431
US,44_2022_Fall,13.286491035177916,61440
US,45_2022_Fall,12.70733340392406,62771
US,46_2022_Fall,13.335617427667266,62673
US,47_2022_Fall,12.167371538842502,60915
US,48_2022_Fall,14.493308752086149,63702
US,48_2023_Winter,11.710865016037705,60966
US,49_2023_Winter,13.917960675006308,86627
US,50_2023_Winter,11.847289156108415,92415
US,51_2023_Winter,10.965669075651142,96576
US,52_2023_Winter,11.866994428857522,96686
US,1_2023_Winter,12.167184270002522,120955
US,2_2023_Winter,12.167184270002522,118557
US,3_2023_Winter,11.787906557223975,103671
US,4_2023_Winter,11.676376401166877,87549
US,5_2023_Winter,13.286491035177916,76676
US,6_2023_Winter,12.104632659029345,67960
US,7_2023_Winter,12.571685174344376,66703
US,8_2023_Winter,12.261057990389277,64105
US,9_2023_Winter,13.740397814653603,44935
US,9_2023_Spring,14.428056855035358,50386
US,10_2023_Spring,10.416407864998737,56395
US,11_2023_Spring,10.7298655223465,50003
US,12_2023_Spring,13.19472926214724,45937
US,13_2023_Spring,12.163126081191805,43589
US,14_2023_Spring,11.423048918165119,38471
US,15_2023_Spring,12.170994672206175,34089
US,16_2023_Spring,12.57168886575583,33213
US,17_2023_Spring,11.625502097548313,30079
US,18_2023_Spring,12.167184270002522,26484
US,19_2023_Spring,11.487198432059564,23563
US,20_2023_Spring,12.151283461766715,21726
US,21_2023_Spring,10.750639319926101,20645
US,22_2023_Spring,12.264994071348939,17061
US,22_2023_Summer,12.999700490826912,14229
US,23_2023_Summer,13.249223594996213,19040
US,24_2023_Summer,13.249223594996213,17318
US,25_2023_Summer,10.640377080842745,16076
US,26_2023_Summer,9.971817436701597,14182
US,27_2023_Summer,10.531965485653435,14358
US,28_2023_Summer,8.53999857478181,14609
US,29_2023_Summer,7.70542000985486,15039
US,30_2023_Summer,7.961308128289864,16394
US,31_2023_Summer,8.81866244950372,20341
US,32_2023_Summer,8.125737503919172,23154
US,33_2023_Summer,7.541551454719823,26253
US,34_2023_Summer,7.748773921535731,30366
US,35_2023_Summer,14.214423854230592,32692
US,35_2023_Fall,12.61815459859475,22178
US,36_2023_Fall,7.587866391641191,40341
US,37_2023_Fall,8.894461534401763,43702
US,38_2023_Fall,8.825511362376007,42199
US,39_2023_Fall,10.713512461811105,43706
US,40_2023_Fall,11.232404192375364,42083
US,41_2023_Fall,10.741963038193589,38713
US,42_2023_Fall,9.789340406861855,36425
