state,selected_strata,optimized_los,objective,simulation
US,Fall,4.061034560311406,41446113,4
US,Fall,5.895142048379434,45394830,5
US,Fall,3.1059820846078043,40159687,6
US,Fall,10.416407864998737,48256078,7
US,Fall,10.416407864998737,48191690,8
US,Fall,5.184541623323963,44208925,9
US,Fall,3.6696150304680955,41760675,10
US,Fall,4.945952018946573,42990398,11
US,Fall,3.445284915256003,40749212,12
US,Fall,4.750732329823279,43515894,13
US,Fall,3.188384671090156,41004488,14
US,Fall,3.679537763407607,42296766,15
US,Fall,3.3528915524298855,40806822,16
US,Fall,3.3684678975826357,40008330,17
US,Fall,3.845743281355851,42190083,18
US,Fall,3.406708312305081,41541831,19
US,Fall,4.885611270254888,43937926,20
US,Fall,4.385454637095721,43051867,21
US,Fall,3.6687370800100947,41425388,22
US,Fall,5.827063970268961,44893093,23
US,Fall,3.335435234026936,41529519,24
US,Fall,3.545383046139844,40896366,25
US,Fall,3.6541302272661915,41299226,26
US,Fall,4.503374781930911,41896385,27
US,Fall,4.750776405003785,42384630,28
US,Fall,4.7772339895155955,43692292,29
US,Fall,4.901349665236349,43336528,30
US,Fall,4.315896099951258,42010018,31
US,Fall,3.2827720622117,40490207,32
US,Fall,4.00680124286425,42231398,33
US,Fall,3.3706680438419783,40373061,34
US,Fall,4.3016937019231225,43820027,35
US,Fall,3.4133022449835964,40594535,36
US,Fall,3.309278815800755,40281818,37
US,Fall,3.4682868603163555,40715687,38
US,Fall,3.255653544785565,40077086,39
US,Fall,3.940423347537301,42247160,40
US,Fall,3.39086317258007,40391238,41
US,Fall,4.750963673843765,43233891,42
US,Fall,3.5360860880554106,41028013,43
US,Fall,3.954137660017901,43022730,44
US,Fall,3.2554348350264983,41085650,45
US,Fall,4.082039324993691,42443606,46
US,Fall,4.009602677457248,41773704,47
US,Fall,4.096398729580435,42048472,48
US,Fall,3.409793263654458,40138648,49
US,Fall,3.1919033993691714,40301382,50
US,Fall,3.3341407631428117,41537017,51
US,Fall,4.749521280074935,42659190,52
US,Fall,3.3114615741449716,41496054,53
US,Fall,3.3776958390399954,40898204,54
US,Fall,3.123540119099318,40978040,55
US,Fall,3.3144140641252515,40194901,56
US,Fall,6.33139663571011,44898077,57
US,Fall,3.493951846176583,41187618,58
US,Fall,3.669227356198196,41677141,59
US,Fall,3.29592610674953,41345983,60
US,Fall,3.2760398378691984,40859810,61
US,Fall,3.3147668984960053,40814140,62
US,Fall,3.257485317073458,40696778,63
US,Fall,3.5688684126645236,41522937,64
US,Fall,3.3004755814154567,41357640,65
US,Fall,3.1077369694895096,39914498,66
US,Fall,3.3489198612639366,41268656,67
US,Fall,3.957316556021887,42061350,68
US,Fall,3.371089449076298,40780322,69
US,Fall,6.442837068561013,44649562,70
US,Fall,4.202241998085424,41725275,71
US,Fall,4.126471209035249,42473535,72
US,Fall,3.20911728045085,41014954,73
US,Fall,3.1224052440130916,39977556,74
US,Fall,3.222443663124188,40164120,75
US,Fall,3.948863785872163,42171943,76
US,Fall,3.375852013254576,40629958,77
US,Fall,3.551761939960787,40859379,78
US,Fall,4.104741277734032,43052925,79
US,Fall,3.4136788654736017,42080597,80
US,Fall,3.6627319160907748,41579135,81
US,Fall,4.153259476289882,41725028,82
US,Fall,4.082039324993691,41662582,83
US,Fall,4.750709343996206,43342137,84
US,Fall,3.5549135942921235,40975010,85
US,Fall,10.416407864998737,48176976,86
US,Fall,4.970246339696599,43598772,87
US,Fall,4.152838796569549,42522515,88
US,Fall,4.035114651683772,41731319,89
US,Fall,3.690482074897446,41658433,90
US,Fall,3.2304500393147464,39782798,91
US,Fall,3.035898784661062,40240799,92
US,Fall,3.348842264367482,40421001,93
US,Fall,3.77975441425347,40598007,94
US,Fall,3.2554348350264983,40661154,95
US,Fall,3.2563220351040734,40936349,96
US,Fall,4.848343830073185,43498397,97
US,Fall,4.1295264905538485,42713303,98
US,Fall,4.077885638472597,43147018,99
US,Fall,4.082083533169993,41557440,100
US,Winter,4.750776405003785,86965566,1
US,Winter,5.924918331758452,88658390,2
US,Winter,3.146992917466262,78410036,3
US,Winter,4.0829041388617515,80288282,4
US,Winter,3.3902697002776008,77959109,5
US,Winter,5.832815729997476,86806028,6
US,Winter,3.716072864228685,79811939,7
US,Winter,5.834892573258022,88474584,8
US,Winter,4.468450407451012,83321813,9
US,Winter,3.548718494167204,78588309,10
US,Winter,3.350349126933856,79424921,11
US,Winter,3.755580400873288,80239598,12
US,Winter,3.2445195649359464,78914830,13
US,Winter,3.3106292162429685,80041123,14
US,Winter,4.082039324993691,82856443,15
US,Winter,4.1942297702169276,82596144,16
US,Winter,3.169070460664488,77735476,17
US,Winter,3.3851109859475175,78778806,18
US,Winter,3.45473172635225,78818934,19
US,Winter,3.0970410529215666,76857791,20
US,Winter,4.773924688217923,85117889,21
US,Winter,3.79645423215758,78434873,22
US,Winter,3.4133022449835964,78756550,23
US,Winter,3.1592045969781313,75641636,24
US,Winter,3.511172677401118,80146939,25
US,Winter,3.7828887830561593,81158362,26
US,Winter,4.082039324993691,82007325,27
US,Winter,3.672128138995662,80522166,28
